,,,,
,,,,
,,,,
Process Area,Proposed Data Element Label,Proposed Data Element Defintion,Proposed References ,"Proposed
 Domain Values"
010 Grant Program Administration,,,,
,AgencyTypeCode,"A text code denoting the role of the Federal agency in the Grants management process (e.g. awarding agency, oversight agency, funding agency).","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(96) 2 CFR 200.501;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(232) 2 CFR 200.519;
(236) OMB Circular No. A-11 (2016);
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(251) 2 CFR 200.300 - 2 CFR 200.344;
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(258) OMB Circular No. A-50 Revised, Audit Followup, Sept. 29, 1982;","Awarding Agency;
Cognizant Agency for Audit;
Cognizant Agency for Indirect Cost;
Funding Agency;
Oversight Agency;"
,AgencyDepartmentCode,"A 3-digit CGAC Federal agency code of the department or establishment of the Government as used in the Treasury Account Fund Symbol (TAFS). (187, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(96) 2 CFR 200.501;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(221) SF-SAC;
(222) FAC Data Dictionary;
(232) 2 CFR 200.519;
(236) OMB Circular No. A-11 (2016);
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(251) 2 CFR 200.300 - 2 CFR 200.344;
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(258) OMB Circular No. A-50 Revised, Audit Followup, Sept. 29, 1982;
(259) 2 CFR 200, Appendix X;",
,AgencyAwardingOfficeCode,"A code denoting the primary organization within the Federal agency that awarded, executed, or is otherwise responsible for the grants transaction. (187, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(100) 2 CFR 200.513;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(236) OMB Circular No. A-11 (2016);
(251) 2 CFR 200.300 - 2 CFR 200.344;",
,AgencyFundingOfficeCode,"A code denoting the primary organization within the Federal agency that signed the Federal financial assistance obligating document and provides the preponderance of the funds obligated by this transaction, or is receiving funds through an allocation transfer. (187, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(57) 2 CFR 200.329;
(96) 2 CFR 200.501;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
